index	cnt	name	val	img	class	
28	605	name_0	4.11, 4.08, 4.10, 4.25, 4.50	img/img_1.png	1	
29	233	name_2	4.11, 4.05, 4.07, 4.06, 4.08	img/img_1.png	1	
30	121	name_0	0.14, 0.54, 0.49, 0.69, 1.14	img/img_0.png	0	
31	607	name_0	4.06, 4.11, 4.06, 4.08, 4.50	img/img_1.png	1	
32	229	name_2	4.06, 4.05, 4.14, 4.17, 4.50	img/img_1.png	1	
33	878	name_2	5.00, 4.20, 4.11, 5.00, 4.20	img/img_1.png	1	
34	214	name_0	0.11, 0.24, 1.16, 0.47, 0.77	img/img_0.png	0	
35	543	name_0	0.11, 0.21, 0.33, 0.50, 0.81	img/img_0.png	0	
36	686	name_2	4.33, 4.10, 4.10, 4.14, 4.09	img/img_1.png	1	
37	894	name_2	4.05, 4.07, 4.09, 4.05, 4.25	img/img_1.png	1	
38	564	name_2	4.06, 4.07, 4.08, 4.17, 4.12	img/img_1.png	1	
39	707	name_2	0.20, 0.15, 0.27, 0.56, 0.81	img/img_0.png	0	
40	568	name_1	0.14, 0.15, 0.33, 0.69, 0.78	img/img_0.png	0	
41	116	name_0	0.50, 0.54, 0.66, 0.56, 1.14	img/img_0.png	0	
42	669	name_1	0.11, 1.04, 0.30, 0.50, 0.89	img/img_0.png	0	
43	592	name_2	0.20, 0.14, 0.27, 0.50, 0.81	img/img_0.png	0	
44	782	name_2	4.20, 4.06, 4.08, 5.00, 4.17	img/img_1.png	1	
45	403	name_1	4.05, 4.06, 4.50, 4.07, 5.00	img/img_1.png	1	
46	245	name_1	0.10, 0.21, 0.33, 0.46, 0.77	img/img_0.png	0	
47	364	name_2	4.20, 4.09, 4.06, 4.09, 4.25	img/img_1.png	1	
48	837	name_1	4.05, 4.06, 4.07, 4.05, 4.07	img/img_1.png	1	
49	503	name_2	0.12, 0.21, 0.33, 0.46, 1.64	img/img_0.png	0	
50	295	name_1	0.17, 0.29, 0.49, 0.53, 0.75	img/img_0.png	0	
51	777	name_0	0.20, 0.17, 0.66, 0.47, 0.75	img/img_0.png	0	
52	760	name_2	4.12, 4.20, 4.07, 4.06, 4.06	img/img_1.png	1	
53	231	name_2	4.09, 4.05, 4.07, 4.06, 4.06	img/img_1.png	1	
54	859	name_0	4.25, 4.10, 4.09, 4.09, 4.06	img/img_1.png	1	
55	223	name_0	4.06, 4.07, 4.06, 4.09, 4.50	img/img_1.png	1	
56	467	name_0	0.14, 0.37, 0.29, 0.46, 1.14	img/img_0.png	0	
57	225	name_0	4.06, 4.11, 4.50, 4.12, 4.08	img/img_1.png	1	
58	357	name_0	4.10, 4.06, 4.09, 5.00, 4.11	img/img_1.png	1	
59	284	name_0	0.25, 0.15, 0.49, 0.86, 0.97	img/img_0.png	0	
60	491	name_2	4.17, 4.08, 4.06, 4.06, 4.05	img/img_1.png	1	
61	643	name_1	0.20, 1.04, 0.36, 0.50, 0.78	img/img_0.png	0	
62	146	name_2	4.06, 4.50, 4.05, 4.06, 4.06	img/img_1.png	1	
63	838	name_1	4.25, 4.08, 4.33, 4.07, 4.14	img/img_1.png	1	
64	520	name_0	4.05, 4.08, 4.08, 4.08, 4.17	img/img_1.png	1	
65	671	name_2	4.08, 4.17, 4.11, 4.09, 4.06	img/img_1.png	1	
66	444	name_0	0.33, 0.18, 0.66, 0.69, 0.74	img/img_0.png	0	
67	573	name_1	0.14, 0.14, 0.27, 0.56, 0.81	img/img_0.png	0	
68	478	name_2	0.14, 0.54, 0.29, 0.61, 1.14	img/img_0.png	0	
69	403	name_0	4.20, 4.06, 4.05, 4.25, 4.25	img/img_1.png	1	
70	891	name_0	4.08, 4.08, 4.20, 4.09, 4.25	img/img_1.png	1	
71	395	name_2	1.00, 0.21, 1.16, 0.50, 0.97	img/img_0.png	0	
72	201	name_0	4.05, 5.00, 4.07, 4.14, 4.08	img/img_1.png	1	
73	512	name_0	4.12, 4.08, 4.14, 4.05, 4.11	img/img_1.png	1	
74	863	name_0	0.10, 1.04, 0.29, 0.48, 1.14	img/img_0.png	0	
75	540	name_0	0.50, 0.29, 0.66, 0.53, 0.78	img/img_0.png	0	
76	403	name_2	4.33, 4.50, 4.17, 4.08, 4.05	img/img_1.png	1	
77	228	name_2	0.20, 0.37, 0.29, 0.50, 1.64	img/img_0.png	0	
78	633	name_0	1.00, 1.04, 0.36, 0.48, 0.84	img/img_0.png	0	
79	880	name_0	0.50, 0.24, 0.41, 0.86, 0.81	img/img_0.png	0	
80	628	name_1	0.12, 0.21, 0.33, 0.47, 0.77	img/img_0.png	0	
81	401	name_2	4.06, 4.06, 4.06, 4.50, 4.06	img/img_1.png	1	
82	669	name_2	0.50, 0.18, 0.36, 0.56, 0.84	img/img_0.png	0	
83	766	name_1	0.17, 0.54, 0.41, 1.36, 0.75	img/img_0.png	0	
84	114	name_0	0.14, 0.14, 0.29, 0.86, 0.75	img/img_0.png	0	
85	481	name_1	4.10, 4.11, 4.06, 4.08, 4.07	img/img_1.png	1	
86	496	name_1	0.33, 0.24, 1.16, 0.50, 0.75	img/img_0.png	0	
87	374	name_2	0.14, 1.04, 0.26, 0.48, 0.84	img/img_0.png	0	
88	170	name_2	0.11, 1.04, 0.30, 0.69, 0.78	img/img_0.png	0	
89	898	name_1	5.00, 4.06, 4.12, 5.00, 4.06	img/img_1.png	1	
90	751	name_0	0.10, 0.54, 0.33, 0.56, 0.74	img/img_0.png	0	
91	488	name_2	0.20, 0.15, 0.33, 0.46, 0.81	img/img_0.png	0	
92	545	name_2	4.06, 4.17, 4.07, 4.07, 4.08	img/img_1.png	1	
93	336	name_2	4.33, 4.07, 4.05, 4.20, 5.00	img/img_1.png	1	
94	252	name_2	0.11, 0.54, 0.29, 1.36, 1.14	img/img_0.png	0	
95	327	name_2	0.20, 0.37, 0.49, 1.36, 0.74	img/img_0.png	0	
96	340	name_2	0.14, 1.04, 0.27, 0.56, 0.77	img/img_0.png	0	
97	894	name_2	0.50, 0.21, 0.29, 0.61, 0.78	img/img_0.png	0	
98	189	name_1	4.08, 4.05, 4.08, 4.05, 4.50	img/img_1.png	1	
99	853	name_0	0.12, 0.37, 0.41, 1.36, 0.77	img/img_0.png	0	
